name,brand_category,product_category,created,last_active,last_onboarding_step,saw_discovery,address_country
baKblade 2.0,/art and entertainment/shows and events,Personal Care,2018-02-07,2018-07-26,3,false,United States
NCREATE,,Technology Hardware & Equipment,2018-02-08,2018-02-08,3,false,India
,,,2018-02-08,2018-02-20,1,false,
,,,2018-02-09,2018-02-09,1,false,
,,,2018-02-09,2018-02-09,1,false,
,,,2018-02-09,2018-02-09,1,false,
,,,2018-02-10,2018-02-10,1,false,
Google,,,2018-02-12,2018-03-19,2,false,
,,,2018-02-12,2018-02-12,0,false,
,,,2018-02-12,2019-03-07,1,false,
,,,2018-02-13,2018-02-21,1,false,
,,,2018-02-13,2018-02-13,2,false,
Keeps,/art and entertainment/shows and events,Health & Medical,2018-02-13,2019-04-23,2,false,United States
,,,2018-02-13,2018-02-13,2,false,
4Ocean LLC,/business and industrial/business operations/business plans,Apparel & Jewelry,2018-02-13,2018-02-13,3,false,United States
,,,2018-02-13,2018-02-13,2,false,
,,,2018-02-13,2018-02-13,0,false,
,,,2018-02-13,2018-03-13,2,false,
,,,2018-02-14,2018-03-20,2,false,
,,,2018-02-14,2018-03-07,2,false,
Libertas: For a Smoke-free Life,,Health & Medical,2018-02-15,2018-02-22,1,false,Canada
Klaudia Nagy,,,2018-02-15,2018-02-15,2,false,United States
,,,2018-02-15,2018-02-15,1,false,
,,,2018-02-15,2018-02-15,0,false,
,,,2018-02-16,2018-02-16,0,false,
,,,2018-02-16,2018-02-19,2,false,
chuck stevens,,Apparel & Jewelry,2018-02-16,2018-02-16,3,false,United States
Amedicanna,/health and fitness,Health & Medical,2018-02-16,2018-10-02,3,false,United States
A TO Z OF SOCCER COACHING,,Outdoors,2018-02-17,2018-02-17,3,false,India
,,,2018-02-17,2018-02-17,1,false,
DudeRobe,/style and fashion/clothing/pants,,2018-02-17,2018-06-07,1,false,United States
,,,2018-02-18,2018-02-18,2,false,
,,,2018-02-19,2018-02-19,2,false,
TSS#,/technology and computing,Outdoors,2018-02-19,2018-02-19,2,false,India
Glyder,/art and entertainment/shows and events,Personal Care,2018-02-19,2019-04-01,3,false,United States
,,,2018-02-19,2018-02-19,0,false,
CBD Livity,/health and fitness,Personal Care,2018-02-19,2018-02-20,3,false,
,,,2018-02-20,2018-02-20,0,false,
Froozer Frozen Fruit Snack,/food and drink/food,,2018-02-20,2018-06-14,2,false,United States
FlipGive,/art and entertainment/shows and events,Retailing,2018-02-20,2018-02-20,2,false,Canada
Tequila 512,/food and drink/food,Food & Beverage,2018-02-20,2018-02-20,1,false,United States
SidelineSwap Inc.,,,2018-02-20,2018-02-21,1,false,
ION Audio,/art and entertainment/music/music reference,Retailing,2018-02-20,2018-02-27,3,false,United States
,,,2018-02-20,2018-02-20,2,false,
,,,2018-02-21,2018-06-05,2,false,
,,,2018-02-21,2018-02-21,1,false,
Sideline Swap,/sports/go kart,Apparel & Jewelry,2018-02-21,2018-03-30,1,false,United States
Limitless Athletics,,Apparel & Jewelry,2018-02-21,2018-03-24,2,false,Canada
ReaNatral,,Food & Beverage,2018-02-22,2018-10-31,2,false,Canada
Team Inferno,,Automobiles,2018-02-22,2018-02-22,3,false,India
,,,2018-02-22,2018-02-22,2,false,
,,,2018-02-22,2018-02-22,1,false,
Trusted Choice,,Insurance,2018-02-22,2018-02-22,3,false,United States
Candid Co.,/society/social institution/divorce,Personal Care,2018-02-23,2019-01-28,3,false,United States
,,,2018-02-23,2018-02-23,0,false,
Phantom Wear Apparel,,Apparel & Jewelry,2018-02-23,2018-02-23,3,false,United States
,,,2018-02-23,2018-02-23,2,false,
,,,2018-02-25,2019-02-04,3,false,
,,,2018-02-25,2018-02-25,1,false,
,,,2018-02-26,2018-02-26,1,false,
,,,2018-02-26,2018-02-26,2,false,
AOS,,Personal Care,2018-02-26,2018-08-23,2,false,United States
On The Line,/pets/dogs,Apparel & Jewelry,2018-02-26,2018-10-24,3,false,United States
,,,2018-02-27,2018-02-27,1,false,
,,,2018-02-27,2018-02-27,1,false,
,,,2018-02-27,2018-02-27,0,false,
Sportivo,/style and fashion/clothing/leggings,Apparel & Jewelry,2018-02-28,2018-08-28,3,false,United States
,,Lifestyle Services,2018-02-28,2018-03-01,3,false,
High Performance Supplements "HPS",/health and fitness,Food & Beverage,2018-03-01,2018-03-05,3,false,United States
,,,2018-03-02,2018-05-02,2,false,
,,,2018-03-02,2018-03-02,2,false,
,,,2018-03-02,2018-08-03,1,false,
,,,2018-03-02,2018-03-02,1,false,
Veblen,,Commercial  & Professional Services,2018-03-04,2018-03-04,3,false,Bulgaria
igloohome,/business and industrial/business operations/business plans,Technology Hardware & Equipment,2018-03-05,2019-05-03,3,false,
,,,2018-03-05,2018-03-05,0,false,
SPARBAR,/sports/boxing,,2018-03-05,2018-03-05,1,false,United Kingdom
,,,2018-03-05,2018-03-05,1,false,
Arizona Leadership Foundation,/education/alumni and reunions,Art,2018-03-06,2019-07-29,2,false,United States
Almirah,,Apparel & Jewelry,2018-03-06,2018-03-06,1,false,Pakistan
Capitol View Worldwide Media Group,,Marketing,2018-03-06,2019-01-09,1,false,United States
,,,2018-03-06,2018-03-06,2,false,
,,,2018-03-06,2018-03-06,1,false,
,,,2018-03-06,2018-03-06,2,false,
,,,2018-03-06,2018-03-06,2,false,
magicfish,,Personal Care,2018-03-06,2019-06-21,2,false,United States
Picked Last USA,,Apparel & Jewelry,2018-03-07,2018-03-07,3,false,
Yathaarth Murthy,/sports/rowing,Art,2018-03-08,2018-03-08,3,false,India
didi,,Commercial  & Professional Services,2018-03-08,2018-03-22,3,false,
,,,2018-03-08,2018-03-09,2,false,
MagicGel,/society/social institution/divorce,Personal Care,2018-03-08,2018-03-08,3,false,United States
,,,2018-03-08,2018-03-08,2,false,
Orbit,/technology and computing/tech news,Technology Hardware & Equipment,2018-03-08,2018-03-08,3,false,Australia
,,,2018-03-09,2018-04-02,1,false,
ISM Connect,,,2018-03-09,2018-05-30,2,false,
Punk Case,/travel/transports/sea travel,Consumer Durables,2018-03-09,2019-06-06,1,false,United States
,,,2018-03-09,2019-03-21,2,false,
ShePower,/family and parenting/children,Lifestyle Services,2018-03-09,2018-03-09,3,false,
Jhv inc,,Apparel & Jewelry,2018-03-10,2018-03-10,3,false,United States
,,,2018-03-10,2018-03-10,2,false,
,,,2018-03-11,2018-03-11,2,false,
Destination Training,,,2018-03-11,2018-03-12,2,false,
Fastlyfe,/art and entertainment/shows and events,Health & Medical,2018-03-11,2018-03-11,3,false,United States
,,,2018-03-11,2018-05-08,1,false,
,,,2018-03-11,2018-03-11,2,false,
,,,2018-03-12,2018-03-12,0,false,
Mediobanca,,,2018-03-12,2018-03-12,2,false,Italy
,,,2018-03-12,2018-11-09,2,false,
,,,2018-03-12,2018-03-14,2,false,
X,,,2018-03-12,2018-03-13,2,false,
,,,2018-03-12,2018-03-12,0,false,
,,,2018-03-13,2018-04-13,2,false,
RedFox,,Pets,2018-03-13,2018-11-29,3,false,
go2lube,/real estate/apartments,Automobiles,2018-03-13,2018-03-13,3,false,United States
,,,2018-03-13,2018-11-30,2,false,
X,,,2018-03-15,2018-03-15,2,false,United States
,,,2018-03-15,2018-03-15,0,false,
SLiiMFiiTT,/style and fashion/beauty/cosmetics,Lifestyle Services,2018-03-15,2018-03-22,1,false,
Golf Force,,Health & Medical,2018-03-15,2018-03-15,1,false,
,,,2018-03-16,2018-03-16,2,false,
,,,2018-03-16,2018-03-16,0,false,
Spirit Mountain,/sports/skiing,Outdoors,2018-03-16,2018-03-16,3,false,United States
ReachMe Tv,/art and entertainment,,2018-03-16,2018-04-16,1,false,United States
,,,2018-03-16,2018-03-20,1,false,
WOZ Softball,,,2018-03-16,2019-07-18,2,false,United States
,,,2018-03-16,2018-03-22,0,false,
,,,2018-03-16,2018-03-16,2,false,
NIYA SIMONE,/society/social institution/divorce,Marketing,2018-03-17,2018-03-17,3,false,United States
,,,2018-03-18,2018-08-18,2,false,
,,,2018-03-18,2018-03-19,2,false,
Actpass,,Software & Services,2018-03-18,2018-03-24,3,false,
,,,2018-03-19,2018-05-18,2,false,
,,,2018-03-19,2018-05-09,2,false,
,,,2018-03-19,2018-03-19,1,false,
,,,2018-03-20,2018-03-20,2,false,
,,,2018-03-20,2018-03-21,0,false,
Talk of Ramchiel 24-7,,,2018-03-20,2018-03-20,3,false,
,,,2018-03-20,2018-03-20,0,false,
Reflexion Interactive Technologies,/health and fitness/sports medicine,Health & Medical,2018-03-20,2018-07-30,3,false,United States
,,,2018-03-20,2018-03-20,2,false,
,,,2018-03-20,2018-03-20,2,false,
WOW Watersports,/art and entertainment/shows and events,,2018-03-20,2018-03-20,3,false,United States
,,,2018-03-21,2019-03-11,2,false,
RØN,,Apparel & Jewelry,2018-03-21,2018-03-21,3,false,
Eleven James,/style and fashion/accessories/watches,Apparel & Jewelry,2018-03-21,2018-06-07,3,false,
,,,2018-03-21,2018-03-21,1,false,
UCLA Martial Arts,/sports/martial arts,,2018-03-21,2018-03-22,3,false,
Rooter,,Consumer Services,2018-03-21,2018-07-09,1,false,India
,,,2018-03-22,2018-03-22,1,false,
,,,2018-03-22,2018-03-22,2,false,
,,,2018-03-22,2018-03-22,2,false,
,,,2018-03-22,2018-03-22,0,false,
,,,2018-03-22,2018-03-22,2,false,
,,,2018-03-23,2018-03-23,1,false,
,,,2018-03-23,2018-03-23,2,false,
Topgunarea51LLC,,Commercial  & Professional Services,2018-03-23,2018-03-23,0,false,United States
,,,2018-03-23,2018-03-23,1,false,
,,,2018-03-24,2018-03-24,0,false,
Waard,/sports/golf,Lifestyle Services,2018-03-24,2018-04-01,3,false,India
Yuball,/technology and computing/networking/vpn and remote access,Marketing,2018-03-24,2018-03-24,3,false,United States
Big Cap Entertainment LLC,,Apparel & Jewelry,2018-03-25,2018-03-30,0,false,United States
,,,2018-03-25,2018-03-25,1,false,
,,,2018-03-25,2018-03-25,2,false,
,,,2018-03-25,2018-05-14,1,false,
XXL SOUL RACING,/art and entertainment/books and literature/fan fiction,Automobiles,2018-03-26,2018-07-18,3,false,
,,,2018-03-26,2018-03-26,1,false,
,,,2018-03-26,2018-03-26,2,false,
Opas Soap,/food and drink/food,Personal Care,2018-03-26,2018-04-13,3,false,United States
,,,2018-03-26,2018-03-26,2,false,
,,,2018-03-26,2019-04-25,2,false,
,,,2018-03-26,2018-03-27,2,false,
,,,2018-03-27,2018-03-27,2,false,
,,,2018-03-27,2018-03-27,2,false,
BajaBoard,,Transportation,2018-03-27,2018-03-27,3,false,Australia
,,,2018-03-28,2018-03-28,1,false,
,,,2018-03-28,2018-11-12,1,false,
,,,2018-03-29,2018-03-29,0,false,
,,,2018-03-29,2018-03-29,2,false,
Zscottnation,,,2018-03-29,2018-03-29,2,false,
,,,2018-03-29,2018-03-29,2,false,
Fuel Labs,/sports,Pharmaceuticals Biotechnology & Life Sciences,2018-03-29,2018-03-29,3,false,United States
,,,2018-03-30,2018-03-30,1,false,
,,,2018-03-30,2019-01-05,2,false,
Kratos OCR Krate,/sports/go kart,Apparel & Jewelry,2018-03-30,2018-04-09,1,false,United States
,,,2018-03-30,2018-03-30,1,false,
,/travel/tourist facilities/hotel,Apparel & Jewelry,2018-03-31,2018-03-31,3,false,
,,,2018-04-01,2018-04-01,2,false,
chen,,,2018-04-02,2019-03-20,3,false,
,,,2018-04-03,2018-04-21,2,false,
Bespoke Post,,,2018-04-03,2018-04-03,3,false,
94Fifty,,Software & Services,2018-04-03,2018-04-18,3,false,
,,,2018-04-03,2018-04-03,2,false,
Fire Cider,/food and drink/food,Food & Beverage,2018-04-03,2018-05-14,3,false,United States
,,,2018-04-03,2018-04-05,1,false,
,,,2018-04-03,2018-04-03,1,false,
Xi Aside Soccer Wear,/style and fashion/clothing,Apparel & Jewelry,2018-04-03,2019-01-23,1,false,
Tomorrow Sleep,,,2018-04-03,2018-04-03,3,false,United States
SCORE Sports,/style and fashion/clothing/pants,,2018-04-03,2019-01-18,1,false,
Florida Justice Association,,Commercial  & Professional Services,2018-04-03,2018-04-03,3,false,
,,,2018-04-03,2018-04-03,0,false,
,,,2018-04-04,2019-02-12,1,false,
iStand,/health and fitness/aging,Health Care Supplies,2018-04-04,2018-04-05,3,false,United States
,,,2018-04-04,2018-04-04,2,false,
Belle Sorelle,,Apparel & Jewelry,2018-04-04,2018-04-04,3,false,United States
Deviant Marketing,/technology and computing/internet technology/social network,Marketing,2018-04-04,2019-06-13,3,false,
,,,2018-04-04,2018-04-04,2,false,
Midwest Performance,/health and fitness,Health & Medical,2018-04-04,2018-04-24,3,false,United States
Miracle Noodle,/food and drink/food,Food & Beverage,2018-04-04,2018-08-08,2,false,United States
